Date,Bike_rented,Temp,Humidity,Visibility_Miles,Wind_Speed_MPH,Events_num
28/10/2015 00:00,22,13,80,9,3,3
29/10/2015 00:00,32,15,77,10,7,3
30/10/2015 00:00,49,15,78,9,11,3
31/10/2015 00:00,19,15,82,8,11,3
01/11/2015 00:00,24,12,77,10,13,3
02/11/2015 00:00,24,10,73,10,3,3
03/11/2015 00:00,23,8,77,10,2,3
04/11/2015 00:00,30,7,73,10,5,3
05/11/2015 00:00,49,11,78,10,5,3
06/11/2015 00:00,66,13,76,8,5,3
07/11/2015 00:00,13,12,81,8,5,3
08/11/2015 00:00,45,11,79,9,4,3
09/11/2015 00:00,27,8,82,9,1,3
10/11/2015 00:00,30,7,79,6,6,2
11/11/2015 00:00,65,10,70,10,8,3
12/11/2015 00:00,25,8,74,8,9,3
13/11/2015 00:00,10,13,86,6,15,3
14/11/2015 00:00,4,8,82,6,3,3
15/11/2015 00:00,43,6,77,8,5,3
16/11/2015 00:00,4,6,79,10,7,3
17/11/2015 00:00,3,12,81,8,12,3
18/11/2015 00:00,7,7,70,10,5,3
19/11/2015 00:00,18,6,74,10,3,3
20/11/2015 00:00,17,5,72,9,2,3
21/11/2015 00:00,47,6,60,10,2,3
22/11/2015 00:00,76,5,69,10,1,3
23/11/2015 00:00,27,4,82,7,5,3
24/11/2015 00:00,33,6,63,8,6,3
25/11/2015 00:00,23,5,51,10,4,3
26/11/2015 00:00,75,5,65,10,2,3
27/11/2015 00:00,81,3,68,10,1,3
28/11/2015 00:00,128,2,75,8,1,8
29/11/2015 00:00,38,1,87,1,2,0
30/11/2015 00:00,12,2,81,4,3,2
01/12/2015 00:00,23,8,69,9,3,3
02/12/2015 00:00,7,8,69,8,7,3
03/12/2015 00:00,12,11,76,10,10,3
04/12/2015 00:00,24,9,74,10,8,3
05/12/2015 00:00,7,8,83,9,5,3
06/12/2015 00:00,25,11,79,10,9,3
07/12/2015 00:00,2,11,87,7,7,3
08/12/2015 00:00,5,14,90,7,10,3
09/12/2015 00:00,12,11,75,9,11,7
10/12/2015 00:00,9,10,72,9,12,7
11/12/2015 00:00,20,8,81,10,2,3
12/12/2015 00:00,7,8,84,8,8,3
13/12/2015 00:00,17,7,78,10,14,3
14/12/2015 00:00,23,5,75,10,3,8
15/12/2015 00:00,9,4,80,6,6,2
16/12/2015 00:00,16,5,66,10,2,3
17/12/2015 00:00,5,5,67,7,6,3
18/12/2015 00:00,8,7,58,9,9,3
19/12/2015 00:00,23,6,64,10,8,3
20/12/2015 00:00,19,7,59,10,13,3
21/12/2015 00:00,6,5,83,8,6,3
22/12/2015 00:00,2,5,78,10,6,3
23/12/2015 00:00,5,5,83,10,11,3
24/12/2015 00:00,10,5,85,10,7,3
25/12/2015 00:00,57,3,94,10,4,3
26/12/2015 00:00,25,3,81,10,4,3
27/12/2015 00:00,9,4,81,9,3,3
28/12/2015 00:00,29,4,91,9,2,3
29/12/2015 00:00,43,4,87,9,2,3
30/12/2015 00:00,28,2,72,10,1,3
31/12/2015 00:00,97,1,70,10,1,3
01/01/2016 00:00,75,1,76,10,1,3
02/01/2016 00:00,53,1,73,9,2,3
03/01/2016 00:00,19,1,67,9,4,6
04/01/2016 00:00,4,3,83,6,1,3
05/01/2016 00:00,8,4,73,8,1,3
06/01/2016 00:00,26,6,90,9,1,3
07/01/2016 00:00,53,3,93,6,2,0
08/01/2016 00:00,85,3,93,6,1,0
09/01/2016 00:00,71,3,92,5,1,0
10/01/2016 00:00,106,6,69,10,2,3
11/01/2016 00:00,9,3,85,10,3,3
12/01/2016 00:00,3,5,88,9,5,3
13/01/2016 00:00,13,8,89,8,8,3
14/01/2016 00:00,25,5,85,10,5,3
15/01/2016 00:00,38,4,92,9,4,6
16/01/2016 00:00,12,8,89,9,5,3
17/01/2016 00:00,24,7,91,10,5,3
18/01/2016 00:00,69,8,81,10,5,3
19/01/2016 00:00,14,6,89,8,3,3
20/01/2016 00:00,12,7,84,10,5,3
21/01/2016 00:00,4,8,95,8,3,3
22/01/2016 00:00,34,10,85,10,8,3
24/01/2016 00:00,63,6,82,10,5,3
25/01/2016 00:00,57,7,81,10,2,3
26/01/2016 00:00,11,10,91,9,4,3
27/01/2016 00:00,9,12,94,9,5,3
28/01/2016 00:00,13,10,86,9,9,3
29/01/2016 00:00,19,8,80,10,6,3
30/01/2016 00:00,70,5,81,10,9,3
31/01/2016 00:00,40,5,80,10,7,3
01/02/2016 00:00,14,5,88,10,5,3
02/02/2016 00:00,48,5,82,9,2,2
03/02/2016 00:00,17,6,83,9,6,3
04/02/2016 00:00,19,7,87,10,10,3
05/02/2016 00:00,35,8,84,10,5,3
06/02/2016 00:00,74,5,82,10,9,3
07/02/2016 00:00,41,6,84,10,2,3
08/02/2016 00:00,56,8,81,10,2,3
09/02/2016 00:00,39,10,83,7,2,0
10/02/2016 00:00,30,10,81,10,5,3
11/02/2016 00:00,13,10,89,8,3,3
12/02/2016 00:00,50,11,89,8,7,3
13/02/2016 00:00,47,8,89,9,10,3
14/02/2016 00:00,61,14,82,10,23,3
15/02/2016 00:00,21,12,84,8,9,3
16/02/2016 00:00,57,11,86,10,7,3
17/02/2016 00:00,19,11,85,9,4,3
18/02/2016 00:00,37,9,82,10,8,3
19/02/2016 00:00,10,7,87,9,7,3
20/02/2016 00:00,157,6,74,10,8,3
21/02/2016 00:00,95,5,87,10,3,3
22/02/2016 00:00,23,7,82,10,6,3
23/02/2016 00:00,54,8,61,10,4,3
24/02/2016 00:00,17,10,69,10,1,3
25/02/2016 00:00,45,10,80,9,1,2
26/02/2016 00:00,49,10,84,10,3,3
27/02/2016 00:00,102,11,87,9,2,3
28/02/2016 00:00,25,8,86,9,6,3
29/02/2016 00:00,12,8,76,10,6,3
01/03/2016 00:00,3,10,86,9,6,3
02/03/2016 00:00,54,10,80,9,11,3
03/03/2016 00:00,18,11,76,10,8,3
04/03/2016 00:00,41,8,84,10,2,3
05/03/2016 00:00,167,13,75,10,6,3
06/03/2016 00:00,36,11,82,9,9,3
07/03/2016 00:00,42,8,84,10,8,3
08/03/2016 00:00,26,7,75,10,7,3
09/03/2016 00:00,19,8,88,9,7,3
10/03/2016 00:00,18,8,80,10,13,3
11/03/2016 00:00,35,7,90,9,3,2
12/03/2016 00:00,41,7,81,10,9,3
13/03/2016 00:00,33,8,82,9,9,3
14/03/2016 00:00,12,6,86,10,11,7
15/03/2016 00:00,56,7,77,10,8,3
16/03/2016 00:00,72,8,71,10,2,3
17/03/2016 00:00,88,8,65,10,3,3
18/03/2016 00:00,83,11,33,10,8,3
19/03/2016 00:00,184,12,53,10,3,3
20/03/2016 00:00,94,11,86,10,2,3
21/03/2016 00:00,24,10,89,10,6,3
22/03/2016 00:00,45,10,81,10,7,3
23/03/2016 00:00,56,10,84,9,11,3
24/03/2016 00:00,90,9,76,10,10,3
25/03/2016 00:00,104,10,68,10,4,3
26/03/2016 00:00,205,10,66,10,2,3
27/03/2016 00:00,35,8,88,9,9,3
28/03/2016 00:00,70,7,81,10,3,3
29/03/2016 00:00,90,10,74,9,4,3
30/03/2016 00:00,82,12,64,10,2,3
31/03/2016 00:00,113,15,64,10,1,3
01/04/2016 00:00,182,14,69,10,3,3
02/04/2016 00:00,236,12,80,10,4,3
03/04/2016 00:00,214,14,71,10,3,3
04/04/2016 00:00,53,12,72,10,12,3
05/04/2016 00:00,97,11,77,10,8,3
06/04/2016 00:00,83,13,67,10,4,3
07/04/2016 00:00,104,17,65,10,4,3
08/04/2016 00:00,126,17,64,10,2,3
09/04/2016 00:00,258,12,73,10,2,3
10/04/2016 00:00,163,11,71,10,7,3
11/04/2016 00:00,43,12,67,10,6,3
12/04/2016 00:00,29,11,79,9,8,3
13/04/2016 00:00,29,11,73,10,6,3
14/04/2016 00:00,71,11,73,10,6,3
15/04/2016 00:00,50,12,70,10,6,3
16/04/2016 00:00,307,13,62,10,4,3
17/04/2016 00:00,211,17,61,10,3,3
18/04/2016 00:00,112,21,53,10,2,3
19/04/2016 00:00,116,20,54,10,3,3
20/04/2016 00:00,90,19,62,10,2,3
21/04/2016 00:00,80,17,65,10,8,3
22/04/2016 00:00,65,14,77,10,6,3
23/04/2016 00:00,105,14,75,10,9,3
24/04/2016 00:00,41,10,83,9,6,3
25/04/2016 00:00,42,11,76,10,2,3
26/04/2016 00:00,92,11,69,10,4,3
27/04/2016 00:00,76,13,67,10,2,3
28/04/2016 00:00,62,14,71,10,3,3
29/04/2016 00:00,89,12,74,10,4,3
30/04/2016 00:00,360,13,64,10,3,3
01/05/2016 00:00,358,17,56,10,3,3
02/05/2016 00:00,159,21,48,10,3,3
03/05/2016 00:00,158,18,65,10,3,3
04/05/2016 00:00,69,13,72,10,5,3
05/05/2016 00:00,160,15,65,10,4,3
06/05/2016 00:00,142,18,48,10,3,3
07/05/2016 00:00,275,20,50,10,2,3
08/05/2016 00:00,81,13,72,9,7,3
09/05/2016 00:00,67,13,64,10,5,3
10/05/2016 00:00,99,15,49,10,3,3
11/05/2016 00:00,69,18,45,10,4,3
12/05/2016 00:00,100,17,53,10,3,3
13/05/2016 00:00,184,20,56,10,5,3
14/05/2016 00:00,109,15,83,10,5,3
15/05/2016 00:00,79,13,91,10,6,3
16/05/2016 00:00,42,13,82,8,3,3
17/05/2016 00:00,128,16,64,10,4,3
18/05/2016 00:00,72,15,74,10,2,3
19/05/2016 00:00,95,12,83,9,7,3
20/05/2016 00:00,295,14,69,10,6,3
21/05/2016 00:00,70,13,56,9,3,3
22/05/2016 00:00,238,15,70,10,9,3
23/05/2016 00:00,84,15,69,10,6,3
24/05/2016 00:00,54,16,70,10,3,3
25/05/2016 00:00,88,15,72,10,4,3
26/05/2016 00:00,40,14,67,10,9,3
27/05/2016 00:00,88,13,67,10,7,3
28/05/2016 00:00,150,13,78,10,9,3
29/05/2016 00:00,177,14,76,9,7,3
30/05/2016 00:00,264,15,59,10,4,3
31/05/2016 00:00,103,18,54,10,2,3
01/06/2016 00:00,136,18,61,10,4,3
02/06/2016 00:00,136,17,75,10,10,3
03/06/2016 00:00,151,20,60,10,3,3
04/06/2016 00:00,210,22,39,10,5,3
05/06/2016 00:00,300,25,46,10,2,3
06/06/2016 00:00,177,23,46,10,3,3
07/06/2016 00:00,161,22,46,10,4,3
08/06/2016 00:00,100,16,62,10,7,3
09/06/2016 00:00,112,15,67,10,7,3
10/06/2016 00:00,73,14,73,10,8,3
11/06/2016 00:00,320,14,79,10,6,3
12/06/2016 00:00,262,16,57,10,4,3
13/06/2016 00:00,101,15,67,10,7,3
14/06/2016 00:00,67,12,73,10,10,3
15/06/2016 00:00,149,13,63,10,7,3
16/06/2016 00:00,210,16,58,10,7,3
17/06/2016 00:00,203,15,69,10,3,3
18/06/2016 00:00,169,15,79,10,5,3
19/06/2016 00:00,314,14,63,10,7,3
20/06/2016 00:00,170,18,67,10,5,7
21/06/2016 00:00,125,17,74,10,9,3
22/06/2016 00:00,117,18,61,10,4,3
23/06/2016 00:00,66,16,87,8,7,3
24/06/2016 00:00,138,15,80,10,7,3
25/06/2016 00:00,329,17,68,10,6,3
26/06/2016 00:00,251,19,63,10,4,3
27/06/2016 00:00,113,22,55,10,4,3
28/06/2016 00:00,141,18,75,10,6,3
29/06/2016 00:00,150,18,80,10,5,3
30/06/2016 00:00,156,18,73,10,5,3
01/07/2016 00:00,173,18,73,10,3,3
02/07/2016 00:00,426,20,70,10,4,3
03/07/2016 00:00,380,17,72,10,5,3
04/07/2016 00:00,473,16,72,10,7,3
05/07/2016 00:00,90,17,72,10,5,3
06/07/2016 00:00,122,18,63,10,3,3
07/07/2016 00:00,123,17,78,10,6,3
08/07/2016 00:00,229,18,82,9,6,3
09/07/2016 00:00,274,17,75,10,6,3
10/07/2016 00:00,255,18,72,10,3,3
11/07/2016 00:00,243,17,68,10,7,3
12/07/2016 00:00,184,20,64,10,3,3
13/07/2016 00:00,185,20,59,10,4,3
14/07/2016 00:00,245,18,62,10,5,3
15/07/2016 00:00,233,18,60,10,3,3
16/07/2016 00:00,271,18,62,10,6,3
17/07/2016 00:00,284,21,60,10,2,3
18/07/2016 00:00,185,19,69,10,4,3
19/07/2016 00:00,140,21,59,10,5,3
20/07/2016 00:00,147,22,54,10,3,3
21/07/2016 00:00,223,21,57,10,4,3
22/07/2016 00:00,125,18,73,9,7,3
23/07/2016 00:00,314,18,64,10,4,3
24/07/2016 00:00,324,20,58,10,4,3
25/07/2016 00:00,180,22,56,10,3,3
26/07/2016 00:00,179,21,69,10,4,3
27/07/2016 00:00,193,21,60,10,5,3
28/07/2016 00:00,192,22,56,10,5,3
29/07/2016 00:00,175,23,53,10,3,3
30/07/2016 00:00,298,19,63,10,6,3
31/07/2016 00:00,273,17,62,10,8,3
01/08/2016 00:00,206,18,70,10,5,3
02/08/2016 00:00,155,17,66,10,6,3
03/08/2016 00:00,142,18,62,10,6,3
04/08/2016 00:00,143,20,58,10,5,3
05/08/2016 00:00,293,21,56,10,4,3
06/08/2016 00:00,296,17,62,10,6,3
07/08/2016 00:00,245,18,69,10,4,3
08/08/2016 00:00,180,17,69,10,4,3
09/08/2016 00:00,166,18,70,10,3,3
10/08/2016 00:00,229,20,67,10,2,3
11/08/2016 00:00,195,21,63,10,4,3
12/08/2016 00:00,228,23,56,10,3,3
13/08/2016 00:00,352,25,52,10,2,3
14/08/2016 00:00,330,21,51,10,4,3
15/08/2016 00:00,155,22,57,10,2,3
16/08/2016 00:00,163,20,62,10,2,3
17/08/2016 00:00,162,21,56,10,4,3
18/08/2016 00:00,217,22,57,10,8,3
19/08/2016 00:00,139,15,48,10,8,3
20/08/2016 00:00,311,25,44,10,3,3
21/08/2016 00:00,232,18,68,10,8,3
22/08/2016 00:00,165,17,64,10,8,3
23/08/2016 00:00,126,19,58,10,7,3
24/08/2016 00:00,163,21,60,10,5,3
25/08/2016 00:00,198,25,51,10,4,3
26/08/2016 00:00,220,23,45,10,4,3
27/08/2016 00:00,239,18,65,10,9,3
28/08/2016 00:00,289,20,65,10,9,3
29/08/2016 00:00,121,20,65,10,4,3
30/08/2016 00:00,104,17,69,10,9,3
31/08/2016 00:00,95,18,77,10,8,3
